Path,Format,Dataset,Weighted,Vertex number,Edge number,Density,Best known solution value,Best known bound
dimacs2010/clustering/adjnoun.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/as-22july06.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/astro-ph.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/caidaRouterLevel.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/celegans_metabolic.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/celegansneural.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/chesapeake.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/cnr-2000.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/cond-mat-2003.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/cond-mat-2005.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/cond-mat.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/dolphins.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/email.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/eu-2005.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/football.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/G_n_pin_pout.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/hep-th.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/in-2004.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/jazz.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/karate.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/lesmis.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/netscience.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/PGPgiantcompo.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/polblogs.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/polbooks.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/power.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/preferentialAttachment.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/road_central.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/road_usa.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/smallworld.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/uk-2002.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/clustering/uk-2007-05.graph.bz2,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/citationCiteseer.graph.bz2,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/citationCiteseer.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/coAuthorsCiteseer.graph.bz2,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/coAuthorsCiteseer.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/coAuthorsDBLP.graph.bz2,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/coAuthorsDBLP.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/coPapersCiteseer.graph.bz2,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/coPapersCiteseer.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/coPapersDBLP.graph.bz2,dimacs2010,dimacs2010,0,,,,,
dimacs2010/coauthor/coPapersDBLP.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n10.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n11.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n12.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n13.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n14.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n15.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n16.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n17.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n18.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n19.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n20.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n21.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n22.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n23.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/delaunay/delaunay_n24.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugebubbles-00000.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugebubbles-00010.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugebubbles-00020.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugetrace-00000.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugetrace-00010.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugetrace-00020.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugetric-00000.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugetric-00010.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/dyn-frames/hugetric-00020.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/er/er-fact1.5-scale20.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/er/er-fact1.5-scale21.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/er/er-fact1.5-scale22.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/er/er-fact1.5-scale23.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/er/er-fact1.5-scale24.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/er/er-fact1.5-scale25.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/er/er-fact1.5-scale26.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/kronecker/kron_g500-simple-logn16.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/kronecker/kron_g500-simple-logn17.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/kronecker/kron_g500-simple-logn18.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/kronecker/kron_g500-simple-logn19.graph,dimacs2010,dimacs2010,0,,,,,
dimacs2010/kronecker/kron_g500-simple-logn20.graph,dimacs2010,dimacs2010,0,,,,,
